Experiment:, EIS
Start date:, ?tvrtek 1. ?nora 2024
Start time:, 15:14:22 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1363, 100000, -0.01008194, -0.00597807
1363, 79432.82, -0.005748212, 0.0008310309
1363, 63095.73, -0.01251603, 0.007992805
1363, 50118.72, 0.0008178474, 0.0002531858
1364, 39810.71, 0.007942719, 0.005716729
1364, 31622.77, -0.0005082171, 0.001772932
1364, 25118.86, 0.0020734, -4.933337e-05
1364, 19952.62, 0.003043004, -0.001364655
1365, 15848.93, 0.002872524, -0.0003069162
1365, 12589.25, 0.003111256, -0.001593779
1365, 9999.997, 0.002809431, -0.0003944035
1365, 7943.28, 0.003056769, -0.0006859081
1366, 6309.571, 0.003128888, -0.0007848848
1366, 5011.871, 0.003256288, -0.0008260763
1366, 3981.07, 0.003367916, -0.0009127245
1366, 3162.276, 0.003508227, -0.001032635
1367, 2511.885, 0.003614767, -0.001176821
1367, 1995.261, 0.003749312, -0.00126083
1367, 1584.892, 0.004005053, -0.001446742
1367, 1258.925, 0.004255887, -0.001597629
1368, 999.9994, 0.004615431, -0.001749014
1368, 794.3277, 0.004888333, -0.001828957
1368, 630.9569, 0.005258469, -0.001880289
1368, 501.1869, 0.005587426, -0.001857974
1368, 398.1069, 0.006050069, -0.001824777
1368, 316.2275, 0.006389093, -0.001647253
1369, 251.1884, 0.00667538, -0.001470653
1369, 199.5261, 0.006897129, -0.001269384
1369, 158.4892, 0.007074992, -0.001067749
1369, 125.8924, 0.007195692, -0.0008732347
1369, 99.99991, 0.007239503, -0.0006796946
1369, 79.43275, 0.007325188, -0.0005721239
1370, 63.09567, 0.007359799, -0.0004507349
1370, 50.11867, 0.007381048, -0.0003373369
1370, 39.81068, 0.007391748, -0.0002713328
1370, 31.62274, 0.007402192, -0.0002084618
1370, 25.11884, 0.007398691, -0.0001517713
1370, 19.9526, 0.007403297, -0.000107111
1370, 15.84891, 0.007392754, -3.105559e-05
1371, 12.58924, 0.007322849, -1.493969e-05
1371, 9.999988, 0.007286986, -8.719897e-05
1371, 7.943272, 0.007329792, 3.778499e-05
1371, 6.309565, 0.007247405, -2.670947e-05
1372, 5.011866, 0.007191425, 2.959951e-05
1372, 3.981066, 0.007244852, 4.025396e-05
1372, 3.162273, 0.007254483, -1.653572e-05
1373, 2.511883, 0.007204816, -6.511521e-05
1373, 1.995259, 0.007186606, -6.500506e-05
1374, 1.584891, 0.007481609, 2.46173e-05
1375, 1.258924, 0.007447867, -5.084206e-05
1376, 0.999998, 0.007402147, -0.0001706935
1377, 0.794327, 0.007392474, -0.0002033498
1379, 0.630956, 0.007396337, -0.0002047725
1381, 0.501186, 0.00742045, -0.0002027723
1383, 0.398106, 0.007434668, -0.000218217
1387, 0.316227, 0.007450224, -0.0003399954
1391, 0.251188, 0.00754281, -0.000328718
1396, 0.199526, 0.007823304, -4.37471e-05
1402, 0.158489, 0.007788523, -0.0005096242
1410, 0.125892, 0.007703444, -0.0003035929
1420, 0.1, 0.007767545, -0.0003080406
