Experiment:, EIS
Start date:, ?tvrtek 2. b?ezna 2023
Start time:, 13:08:54 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
49, 100000, -0.01866221, -0.01328481
50, 79432.82, 0.05733335, -0.02590236
50, 63095.73, -0.1450418, -0.1039705
50, 50118.72, 0.01795793, -0.002268908
51, 39810.71, 0.01175071, -0.004540987
52, 31622.77, 0.0006986486, -0.01841329
52, 25118.86, 0.01948459, -0.1162862
53, 19952.62, 0.01134065, 0.02015369
53, 15848.93, 0.03296022, 0.02549525
53, 12589.25, 0.02335933, 0.004625074
54, 9999.997, 0.01494841, -0.01334269
54, 7943.28, 0.03756265, 0.03352983
55, 6309.571, 0.0109663, -0.01095609
55, 5011.871, 0.0166226, -0.008148507
55, 3981.07, 0.01414858, -0.004514504
55, 3162.276, 0.01471196, -0.00625334
56, 2511.885, 0.01392429, -0.006658626
56, 1995.261, 0.01700859, -0.005637513
56, 1584.892, 0.01741014, -0.006006816
57, 1258.925, 0.01932683, -0.006925974
57, 999.9994, 0.02036322, -0.007394967
57, 794.3277, 0.02175321, -0.008094068
57, 630.9569, 0.02203751, -0.008762422
58, 501.1869, 0.02293581, -0.01037361
58, 398.1069, 0.02427973, -0.01008496
58, 316.2275, 0.02580285, -0.01180498
58, 251.1884, 0.02771005, -0.01356216
58, 199.5261, 0.02794282, -0.01448656
58, 158.4892, 0.03008344, -0.01684896
58, 125.8924, 0.03157875, -0.01924972
59, 99.99991, 0.03230716, -0.0196668
59, 79.43275, 0.03183315, -0.01843063
59, 63.09567, 0.03741343, -0.02760832
59, 50.11867, 0.03612133, -0.02759583
59, 39.81068, 0.03967948, -0.03724063
60, 31.62274, 0.0428227, -0.04044054
60, 25.11884, 0.04859027, -0.04630381
60, 19.9526, 0.05347854, -0.05383928
60, 15.84891, 0.0803388, -0.0680448
60, 12.58924, 0.07727944, -0.06673317
60, 9.999988, 0.05401579, -0.06577169
61, 7.943272, 0.09600369, -0.08300171
61, 6.309565, 0.1470011, -0.06421538
61, 5.011866, 0.1388551, -0.1167776
61, 3.981066, 0.2025888, -0.06519398
62, 3.162273, 0.158415, -0.07831979
62, 2.511883, 0.1923199, -0.05707334
63, 1.995259, 0.1888452, -0.09782958
64, 1.584891, 0.2924959, -0.1212782
67, 1.258924, 0.2213345, -0.07330338
68, 1, 0.2201075, -0.04855175
