Experiment:, EIS
Start date:, st?eda 21. ?ervna 2023
Start time:, 10:34:48 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1194.0,25118.85,0.001165053,-0.0001054671
1194.0,22387.2,0.001152456,-0.0002471629
1195.0,15848.92,0.001126003,-0.0007109736
1195.0,14125.37,0.0009445102,-0.0004847696
1195.0,12589.25,0.001127352,-0.00069215
1195.0,11220.18,0.001414097,-8.239962e-05
1196.0,9999.993,0.001336282,-0.0005002224
1196.0,8912.503,0.00132119,-0.0002612751
1196.0,7943.276,0.001415073,-0.0001131622
1196.0,7079.452,0.001475134,-0.0004149656
1197.0,6309.568,0.001473216,-0.0001965336
1197.0,5623.409,0.001508213,-0.0002018428
1197.0,5011.868,0.001497813,-0.0003101254
1197.0,4466.832,0.001477802,-0.0002580351
1198.0,3981.068,0.001520784,-0.0003179448
1198.0,3548.131,0.001516477,-0.0003225991
1198.0,3162.275,0.001535814,-0.0003734374
1198.0,2818.38,0.001552709,-0.0004531463
1199.0,2511.884,0.001575169,-0.0004517189
1199.0,2238.719,0.001564756,-0.0004992323
1199.0,1995.26,0.001629416,-0.0005307224
1199.0,1778.277,0.001613945,-0.0005868189
1200.0,1584.891,0.001665222,-0.0006793072
1200.0,1412.536,0.001705185,-0.0007377255
1200.0,1258.924,0.001687469,-0.0007761742
1200.0,1122.017,0.001715933,-0.0008504061
1201.0,999.9988,0.001843924,-0.000972073
1201.0,891.2498,0.001819056,-0.001055917
1201.0,794.3272,0.001805635,-0.001097679
1201.0,707.9448,0.001950353,-0.001197075
1201.0,630.9565,0.001982558,-0.001355188
1201.0,562.3405,0.002075197,-0.001460175
1202.0,501.1865,0.002250021,-0.001613075
1202.0,446.6829,0.002287935,-0.001725419
1202.0,398.1066,0.002440809,-0.001812508
1202.0,354.8128,0.002554375,-0.002003985
1202.0,316.2273,0.002718192,-0.002143389
1202.0,281.8378,0.002903583,-0.002278893
1203.0,251.1882,0.003121536,-0.002417236
1203.0,223.8717,0.003338448,-0.002552024
1203.0,199.5259,0.00358439,-0.002661804
1203.0,177.8276,0.003867545,-0.002755456
1203.0,158.489,0.004156679,-0.00284934
1203.0,141.2535,0.00445208,-0.002884978
1203.0,125.8923,0.004752242,-0.002916185
1204.0,112.2016,0.005088487,-0.002904282
1204.0,99.9998,0.005451955,-0.002921918
1204.0,89.12492,0.005695011,-0.002802011
1204.0,79.43266,0.005973808,-0.002739596
1204.0,70.79443,0.006278904,-0.00257788
1204.0,63.0956,0.006501178,-0.002466578
1205.0,56.23401,0.006730662,-0.002309569
1205.0,50.11861,0.006863257,-0.002124429
1205.0,44.66826,0.007097135,-0.002008527
1205.0,39.81063,0.007184594,-0.001918619
1205.0,35.48126,0.007357645,-0.001575722
1205.0,31.6227,0.007531463,-0.001525417
1205.0,28.18376,0.007536432,-0.001372739
1206.0,25.11881,0.007597748,-0.001275692
1206.0,22.38716,0.007600215,-0.001136373
1206.0,19.95257,0.007649874,-0.001002537
1206.0,17.78275,0.007712639,-0.0009488313
1206.0,15.84889,0.007817677,-0.0007865386
1206.0,14.12534,0.007849922,-0.0007824318
1207.0,12.58922,0.007798458,-0.0007155999
1207.0,11.22016,0.007825405,-0.0006972729
1207.0,9.999973,0.007946002,-0.0006832926
1207.0,8.912485,0.007770986,-0.0005409632
1207.0,7.943261,0.00785238,-0.0004809574
1208.0,7.079438,0.007996292,-0.0005377353
1208.0,6.309556,0.007945523,-0.000355317
1208.0,5.623397,0.007923002,-0.0003766177
1208.0,5.011858,0.007946797,-0.0003434174
1209.0,4.466823,0.007905169,-0.0003660232
1209.0,3.98106,0.007954953,-0.0002992263
1209.0,3.548123,0.008030482,-0.0002925465
1210.0,3.162268,0.007996561,-0.000250242
1210.0,2.818374,0.008024472,-0.0002191797
1210.0,2.511878,0.008033581,-0.0002103862
1211.0,2.238714,0.008029611,-0.0001345547
1212.0,1.995256,0.008048319,-0.0001157114
1212.0,1.778274,0.008246056,2.117379e-05
1213.0,1.584888,0.008062848,-0.0001481487
1214.0,1.412533,0.007980348,-0.000148326
1214.0,1.258921,0.00803462,-0.0001459367
1215.0,1.122015,0.008023607,0.0002365379
1216.0,0.999997,0.007976863,-9.45151e-05
1218.0,0.891248,0.007913106,-0.0002342221
1219.0,0.794325,0.008045182,-5.552704e-07
1220.0,0.707943,0.00803634,-7.436281e-05
1222.0,0.630955,0.007925043,-1.340185e-05
1228.0,0.446682,0.007799985,-7.037236e-05
1231.0,0.398106,0.007890611,1.460776e-05
1234.0,0.354812,0.008142445,-0.0002220186
1237.0,0.316227,0.007984355,-0.0001900178
1240.0,0.281837,0.007632886,2.936003e-05
1273.0,0.141253,0.008183192,0.0004264064
1281.0,0.125892,0.007870193,9.706423e-05
1290.0,0.112201,0.007921999,0.0002307769
1300.0,0.1,0.007581608,0.0005803601
