Experiment:, EIS
Start date:, st?eda 12. ??jna 2022
Start time:, 16:13:49 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
503.0,35481.33,0.003078059,-9.171092e-05
503.0,31622.77,0.003404533,-0.0002071631
504.0,28183.82,0.002579454,-0.0004105608
504.0,25118.85,0.003134541,-0.0004641417
504.0,22387.2,0.002892449,-0.000572541
504.0,19952.61,0.00329809,-0.0005978334
505.0,17782.79,0.003253542,-0.0005263594
505.0,15848.92,0.00332467,-0.0005484544
505.0,14125.37,0.003366669,-0.0006545376
505.0,12589.25,0.003330042,-0.000596301
506.0,11220.18,0.003417083,-0.0007282948
506.0,9999.993,0.00349997,-0.0007580016
506.0,8912.503,0.003566243,-0.0007714508
506.0,7943.276,0.003615901,-0.0008108648
507.0,7079.452,0.003679096,-0.0008686691
507.0,6309.568,0.003749265,-0.0009012916
507.0,5623.409,0.003795224,-0.0009632073
507.0,5011.868,0.003856426,-0.001007775
508.0,4466.832,0.003916942,-0.001064544
508.0,3981.068,0.003980046,-0.001120947
508.0,3548.131,0.004045306,-0.001179559
508.0,3162.275,0.004108712,-0.001253665
509.0,2818.38,0.004181906,-0.001329593
509.0,2511.884,0.004253754,-0.001410426
509.0,2238.719,0.004332177,-0.00149618
509.0,1995.26,0.004414647,-0.001598649
510.0,1778.277,0.004505205,-0.001701375
510.0,1584.891,0.004599246,-0.001810898
510.0,1412.536,0.004711993,-0.001927594
510.0,1258.924,0.00482502,-0.002052881
511.0,1122.017,0.004949028,-0.002190184
511.0,999.9988,0.005099803,-0.002317869
511.0,891.2498,0.005240004,-0.002476372
511.0,794.3272,0.005393364,-0.00263383
511.0,707.9448,0.0055692,-0.0027954
511.0,630.9565,0.005768448,-0.002969344
511.0,562.3405,0.005986743,-0.003134172
512.0,501.1865,0.006278343,-0.003292001
512.0,446.6829,0.006481951,-0.003496943
512.0,398.1066,0.006752537,-0.003735431
512.0,354.8128,0.007056572,-0.003850231
512.0,316.2273,0.007386512,-0.004029411
512.0,281.8378,0.007724388,-0.004193414
512.0,251.1882,0.008105071,-0.004355136
513.0,223.8717,0.008495114,-0.004495047
513.0,199.5259,0.008896484,-0.004580076
513.0,177.8276,0.009365294,-0.004707866
513.0,158.489,0.00982016,-0.004762121
513.0,141.2535,0.01028137,-0.004803136
513.0,125.8923,0.01074968,-0.004808879
514.0,112.2016,0.0112182,-0.004771664
514.0,99.9998,0.0116572,-0.004715787
514.0,89.12492,0.01214012,-0.004608652
514.0,79.43266,0.0125852,-0.004482388
514.0,70.79443,0.01300971,-0.004326846
514.0,63.0956,0.01341156,-0.004157262
514.0,56.23401,0.01376271,-0.003968928
515.0,50.11861,0.01407834,-0.003737183
515.0,44.66826,0.01437137,-0.003552736
515.0,39.81063,0.01463106,-0.003326781
515.0,35.48126,0.01492078,-0.003081657
515.0,31.6227,0.01512977,-0.002866924
515.0,28.18376,0.01533305,-0.002645187
516.0,25.11881,0.01552104,-0.002437772
516.0,22.38716,0.0156411,-0.002244572
516.0,19.95257,0.01576995,-0.002029574
516.0,17.78275,0.01585529,-0.001844341
516.0,15.84889,0.01601961,-0.001625355
516.0,14.12534,0.01605033,-0.001525307
517.0,12.58922,0.01605062,-0.001382597
517.0,11.22016,0.0160659,-0.001298595
517.0,9.999973,0.01634173,-0.001160375
517.0,8.912485,0.01629711,-0.001060103
517.0,7.943261,0.01619292,-0.0009293797
518.0,7.079438,0.01630036,-0.0007086977
518.0,6.309556,0.01614884,-0.0007983532
518.0,5.623397,0.01638089,-0.0006242532
518.0,5.011858,0.01627309,-0.0006669826
519.0,4.466823,0.01628913,-0.0004936593
519.0,3.98106,0.01633624,-0.0004958501
519.0,3.548123,0.01635529,-0.0004916452
520.0,3.162268,0.01636178,-0.0003752409
520.0,2.818374,0.01637394,-0.0004038079
520.0,2.511878,0.01642303,-0.0003112143
521.0,2.238714,0.01634301,-0.0003386821
522.0,1.995256,0.01638799,-0.0003261198
522.0,1.778274,0.01638917,-0.0003304421
523.0,1.584888,0.01638215,-0.0002283541
524.0,1.412533,0.01652705,-0.0003450478
524.0,1.258921,0.01643358,-0.0002662728
525.0,1.122015,0.01647755,-0.0002312503
526.0,0.999997,0.01628538,-0.0002723565
528.0,0.891248,0.01670009,-0.0001118957
529.0,0.794325,0.01645635,-0.0001505533
530.0,0.707943,0.01642226,-0.0001098214
532.0,0.630955,0.01657543,-0.000535538
534.0,0.562339,0.01672338,-0.000251309
536.0,0.501185,0.01685609,-0.000229916
538.0,0.446682,0.01700907,-0.000344932
541.0,0.398106,0.0167958,4.165926e-05
544.0,0.354812,0.01671078,-0.0004027321
547.0,0.316227,0.01687802,-0.0004501325
550.0,0.281837,0.0172858,-0.0002099347
555.0,0.251188,0.01736354,-0.0007115745
559.0,0.223871,0.01703511,-0.0006258195
564.0,0.199525,0.01725065,-0.0005435992
570.0,0.177827,0.01719519,-0.0005344715
576.0,0.158489,0.01704668,-0.0006313388
583.0,0.141253,0.01730291,-0.0006178346
591.0,0.125892,0.0177939,-0.001147312
600.0,0.112201,0.01767982,-0.001084524
610.0,0.1,0.01803608,-0.0009418266
