Experiment:, EIS
Start date:, st?eda 20. z??? 2023
Start time:, 14:04:52 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
354.0,79432.82,0.04080597,0.00337004
355.0,63095.73,0.06797861,-0.002467028
355.0,39810.71,0.01406757,-0.003520553
355.0,31622.77,0.04020251,-0.001044943
356.0,25118.86,0.03558725,0.01404194
356.0,19952.62,0.02124099,0.009808523
356.0,15848.93,0.02377212,-0.006427479
356.0,12589.25,0.02929495,-0.01187901
357.0,9999.997,0.02214716,-0.01477574
357.0,7943.28,0.01835314,-0.009139562
357.0,6309.571,0.01873558,0.003664356
358.0,3162.276,0.03437117,-0.004417092
359.0,2511.885,0.04154374,-0.01006742
359.0,1995.261,0.0409075,-0.0118539
360.0,1584.892,0.04169713,-0.01202876
360.0,1258.925,0.0419225,-0.01326876
360.0,999.9994,0.04261427,-0.01479394
361.0,794.3277,0.04489416,-0.01634749
361.0,630.9569,0.04713143,-0.01842575
361.0,501.1869,0.04898341,-0.02046779
361.0,398.1069,0.05145916,-0.02293245
361.0,316.2275,0.05518067,-0.0297414
363.0,251.1884,0.05692775,-0.02701448
363.0,199.5261,0.06054339,-0.03674455
363.0,158.4892,0.06584336,-0.03602151
363.0,125.8924,0.06187173,-0.04475714
363.0,99.99991,0.07542267,-0.04450614
363.0,79.43275,0.08310673,-0.05135298
363.0,63.09567,0.0937136,-0.05427973
364.0,50.11867,0.1032811,-0.05994716
364.0,39.81068,0.1180906,-0.06607919
364.0,31.62274,0.1386831,-0.06470234
364.0,25.11884,0.1293921,-0.05688641
364.0,19.9526,0.1495532,-0.06115219
364.0,15.84891,0.1684391,-0.05249358
365.0,12.58924,0.1659411,-0.05443053
365.0,7.943272,0.1924798,-0.01537965
366.0,3.981066,0.1992471,-0.03516461
366.0,3.162273,0.2243233,-0.03131969
367.0,2.511883,0.2126676,-0.02378839
368.0,1.995259,0.2159512,-0.02134241
368.0,1.584891,0.2308293,-0.02030222
369.0,1.258924,0.2311426,-0.02340676
370.0,0.999998,0.2245415,-0.0181543
372.0,0.794327,0.2309119,-0.01677544
373.0,0.630956,0.2330641,-0.01040972
375.0,0.501186,0.2287711,-0.01390949
378.0,0.398106,0.2284025,-0.01296214
381.0,0.316227,0.2324327,-0.007471187
385.0,0.251188,0.2338588,-0.01329065
390.0,0.199526,0.2314522,-0.01224467
