Experiment:, EIS
Start date:, p?tek 24. ?nora 2023
Start time:, 13:03:03 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
792.0,63095.73,0.004149491,0.00358455
793.0,39810.71,0.003337871,-0.0002441321
793.0,35481.33,0.003017144,0.0004082579
793.0,31622.77,0.003833887,0.0003360577
793.0,28183.82,0.003897337,6.950398e-05
794.0,25118.85,0.003378903,-0.000271255
794.0,22387.2,0.003256353,-0.0001519634
794.0,19952.61,0.003669767,-0.000117948
794.0,17782.79,0.003735844,-0.0001619437
795.0,15848.92,0.003813058,-0.0002261827
795.0,14125.37,0.00393593,-0.000336562
795.0,12589.25,0.004003815,-0.0003650127
795.0,11220.18,0.004138015,-0.0004174669
796.0,9999.993,0.004210197,-0.000397476
796.0,8912.503,0.004212711,-0.0004428139
796.0,7943.276,0.004282875,-0.0004765089
796.0,7079.452,0.004325949,-0.0005085306
797.0,6309.568,0.00436085,-0.000538928
797.0,5623.409,0.004416732,-0.0005413634
797.0,5011.868,0.004463305,-0.0005786335
797.0,4466.832,0.004490046,-0.0005997139
798.0,3981.068,0.004538493,-0.0006331478
798.0,3548.131,0.004578268,-0.0006691305
798.0,3162.275,0.004610732,-0.0007036746
798.0,2818.38,0.004650627,-0.000742054
799.0,2511.884,0.004687122,-0.0007899682
799.0,2238.719,0.004725924,-0.0008395333
799.0,1995.26,0.004775917,-0.0008822248
799.0,1778.277,0.00482024,-0.0009596676
800.0,1584.891,0.004859514,-0.001026552
800.0,1412.536,0.00491432,-0.001092375
800.0,1258.924,0.004965645,-0.001181192
800.0,1122.017,0.005025795,-0.00126155
801.0,999.9988,0.00506387,-0.001359507
801.0,891.2498,0.0051561,-0.001459479
801.0,794.3272,0.005223559,-0.001571929
801.0,707.9448,0.005303897,-0.001696754
801.0,630.9565,0.005399651,-0.001822673
801.0,562.3405,0.005502688,-0.00194806
802.0,501.1865,0.005688033,-0.002083068
802.0,446.6829,0.005754704,-0.002269071
802.0,398.1066,0.005844468,-0.002454742
802.0,354.8128,0.00605307,-0.00263076
802.0,316.2273,0.006224807,-0.00282014
802.0,281.8378,0.006430263,-0.003014819
803.0,251.1882,0.006639131,-0.00320313
803.0,223.8717,0.006896667,-0.003423709
803.0,199.5259,0.007155067,-0.003620105
803.0,177.8276,0.007473277,-0.003849555
803.0,158.489,0.007816062,-0.004037701
803.0,141.2535,0.008162235,-0.004225547
803.0,125.8923,0.008581422,-0.004431853
804.0,112.2016,0.00902724,-0.004576407
804.0,99.9998,0.009551365,-0.004561978
804.0,89.12492,0.009954844,-0.004774765
804.0,79.43266,0.01044369,-0.004829213
804.0,70.79443,0.01092827,-0.004831088
804.0,63.0956,0.0114361,-0.004808116
805.0,56.23401,0.01193088,-0.004700532
805.0,50.11861,0.01231948,-0.004621686
805.0,44.66826,0.01284589,-0.004448756
805.0,39.81063,0.01325666,-0.004276959
805.0,35.48126,0.0136386,-0.004083768
805.0,31.6227,0.01401125,-0.00382049
806.0,28.18376,0.01437022,-0.003556297
806.0,25.11881,0.01455546,-0.003380055
806.0,22.38716,0.01478881,-0.003027898
806.0,19.95257,0.01505348,-0.00285911
806.0,17.78275,0.01500768,-0.002638106
806.0,15.84889,0.01530247,-0.002587036
806.0,14.12534,0.01550845,-0.002336035
807.0,12.58922,0.01558337,-0.002129524
807.0,11.22016,0.01569259,-0.001935132
807.0,9.999973,0.01576687,-0.001850894
807.0,8.912485,0.0158197,-0.001622821
807.0,7.943261,0.01597949,-0.001559467
808.0,7.079438,0.0158726,-0.001441965
808.0,6.309556,0.01601549,-0.001484375
808.0,5.623397,0.01573703,-0.001076725
808.0,5.011858,0.01607813,-0.001268388
809.0,4.466823,0.01624993,-0.001276756
809.0,3.98106,0.0164022,-0.0009383131
809.0,3.548123,0.01623886,-0.000760258
810.0,3.162268,0.01619871,-0.001548338
810.0,2.818374,0.01610282,-0.001302994
810.0,2.511878,0.01637248,-0.001063349
811.0,2.238714,0.01642588,-0.001125598
812.0,1.995256,0.0165576,-0.0009861632
812.0,1.778274,0.01671783,-0.001202838
813.0,1.584888,0.01675652,-0.001224605
814.0,1.412533,0.01684585,-0.001018022
814.0,1.258921,0.01647692,-0.001056055
815.0,1.122015,0.0169681,-0.001416143
816.0,0.999997,0.01705542,-0.001296256
818.0,0.891248,0.01701169,-0.001019057
819.0,0.794325,0.01725495,-0.001330073
820.0,0.707943,0.01743665,-0.001323329
822.0,0.630955,0.01747152,-0.001482018
824.0,0.562339,0.01724877,-0.001412734
826.0,0.501185,0.01761339,-0.001062116
828.0,0.446682,0.01774381,-0.001257089
831.0,0.398106,0.0185619,-0.001014981
834.0,0.354812,0.01786679,-0.001105926
837.0,0.316227,0.01804083,-0.001143724
840.0,0.281837,0.01790438,-0.0009657111
881.0,0.125892,0.01922816,0.000418662
900.0,0.1,0.02380462,-0.00825065
