Experiment:, EIS
Start date:, ?ter? 19. z??? 2023
Start time:, 13:22:56 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
889.0,79432.82,0.0004084517,0.0003346151
890.0,39810.71,0.001925935,-0.0003987272
890.0,31622.77,0.002530276,0.0002041132
890.0,25118.86,0.002465155,-0.0001383247
891.0,19952.62,0.002499755,-0.0003030072
891.0,15848.93,0.002571536,-0.0003522103
891.0,12589.25,0.002658532,-0.0004551418
891.0,9999.997,0.002736267,-0.0005292455
892.0,7943.28,0.002835458,-0.0006056721
892.0,6309.571,0.002920614,-0.0006646211
892.0,5011.871,0.003011516,-0.0007489033
892.0,3981.07,0.003090205,-0.0008522486
893.0,3162.276,0.003177831,-0.0009750394
893.0,2511.885,0.003278154,-0.001124402
893.0,1995.261,0.003403714,-0.00131077
893.0,1584.892,0.003559557,-0.001513994
894.0,1258.925,0.003758441,-0.00175379
894.0,999.9994,0.004023411,-0.002005424
894.0,794.3277,0.004340152,-0.00229974
894.0,630.9569,0.00473227,-0.002570772
894.0,501.1869,0.005198667,-0.0028275
894.0,398.1069,0.005775767,-0.003038728
894.0,316.2275,0.006425142,-0.003128822
895.0,251.1884,0.007095639,-0.003121373
895.0,199.5261,0.007746385,-0.0029954
895.0,158.4892,0.008327474,-0.002758534
895.0,125.8924,0.008815078,-0.002452238
895.0,99.99991,0.009168758,-0.002069492
895.0,79.43275,0.009477654,-0.001775359
896.0,63.09567,0.00968797,-0.001461924
896.0,50.11867,0.009802402,-0.001152015
896.0,39.81068,0.009910472,-0.0009227258
896.0,31.62274,0.009974319,-0.0007457218
896.0,25.11884,0.009994029,-0.0005748289
896.0,19.9526,0.00999843,-0.0004270794
897.0,15.84891,0.01002852,-0.000333031
897.0,12.58924,0.01000874,-0.0002299813
897.0,9.999988,0.009976028,-0.0002193019
897.0,7.943272,0.009990063,-0.0001385239
897.0,6.309565,0.009958822,-9.138592e-05
898.0,5.011866,0.009964752,-7.260228e-05
898.0,3.981066,0.009941909,-3.912251e-05
898.0,3.162273,0.00992448,-1.928869e-05
899.0,2.511883,0.009892209,-2.407812e-05
899.0,1.995259,0.009914017,-3.382245e-05
900.0,1.584891,0.009922708,-6.68755e-05
901.0,1.258924,0.009916144,-7.131324e-05
902.0,0.999998,0.009944648,-7.398811e-05
903.0,0.794327,0.009950862,-8.070935e-05
905.0,0.630956,0.009943817,-9.791128e-05
907.0,0.501186,0.009972185,-8.366095e-05
909.0,0.398106,0.009999871,-7.765946e-05
913.0,0.316227,0.009967984,-7.476635e-05
917.0,0.251188,0.01007668,-8.118775e-05
922.0,0.199526,0.01000328,-9.964145e-05
928.0,0.158489,0.01054042,-0.000355381
936.0,0.125892,0.01020195,-9.676352e-05
946.0,0.1,0.009895976,0.0002716318
