Experiment:, EIS
Start date:, ?tvrtek 13. ??jna 2022
Start time:, 14:31:07 +02:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1425.0,15848.92,0.002837297,2.318771e-07
1425.0,14125.37,0.002996311,-0.0005590722
1425.0,12589.25,0.003023219,-0.001548521
1425.0,11220.18,0.003459241,-0.0002906065
1426.0,9999.993,0.003702057,-8.126201e-05
1426.0,8912.503,0.003672995,-0.0005548606
1426.0,7943.276,0.003411492,-0.00116443
1426.0,7079.452,0.00346307,-0.0008050921
1427.0,6309.568,0.003647873,-0.0008985025
1427.0,5623.409,0.003865614,-0.0009106026
1427.0,5011.868,0.003884251,-0.000887164
1427.0,4466.832,0.004041279,-0.0009133407
1428.0,3981.068,0.004024636,-0.001129826
1428.0,3548.131,0.004142486,-0.00100761
1428.0,3162.275,0.004144405,-0.001026782
1428.0,2818.38,0.004214054,-0.001010071
1429.0,2511.884,0.004303098,-0.001080131
1429.0,2238.719,0.004428992,-0.001110441
1429.0,1995.26,0.004415554,-0.001008371
1429.0,1778.277,0.004583417,-0.001170526
1430.0,1584.891,0.004702123,-0.001183779
1430.0,1412.536,0.004812007,-0.00121066
1430.0,1258.924,0.004792584,-0.001208804
1430.0,1122.017,0.004909412,-0.001244609
1431.0,999.9988,0.004864694,-0.001228168
1431.0,891.2498,0.005091342,-0.00130082
1431.0,794.3272,0.00516475,-0.001415255
1431.0,707.9448,0.005271195,-0.001370422
1431.0,630.9565,0.005362882,-0.001426496
1431.0,562.3405,0.00543324,-0.001465971
1432.0,501.1865,0.005494827,-0.001405829
1432.0,446.6829,0.005635922,-0.001574839
1432.0,398.1066,0.005648104,-0.001527423
1432.0,354.8128,0.005883076,-0.001674159
1432.0,316.2273,0.005963608,-0.001745163
1432.0,281.8378,0.006063004,-0.001803504
1433.0,251.1882,0.006199182,-0.001866943
1433.0,223.8717,0.006339636,-0.001958431
1433.0,199.5259,0.006484297,-0.002177809
1433.0,177.8276,0.006627344,-0.002146721
1433.0,158.489,0.006793569,-0.002203214
1433.0,141.2535,0.006982809,-0.002305655
1433.0,125.8923,0.007161133,-0.002407602
1434.0,112.2016,0.007371961,-0.00247896
1434.0,99.9998,0.007645994,-0.002600688
1434.0,89.12492,0.007846112,-0.002591559
1434.0,79.43266,0.008069565,-0.00260981
1434.0,70.79443,0.008345197,-0.002670799
1434.0,63.0956,0.008603978,-0.002642917
1435.0,56.23401,0.008828919,-0.002651342
1435.0,50.11861,0.009152737,-0.002627254
1435.0,44.66826,0.009399083,-0.002592439
1435.0,39.81063,0.009625323,-0.002464868
1435.0,35.48126,0.009840703,-0.00234495
1435.0,31.6227,0.01006321,-0.002344654
1435.0,28.18376,0.01039208,-0.0021857
1436.0,25.11881,0.01062334,-0.001960694
1436.0,22.38716,0.01061226,-0.001955709
1436.0,19.95257,0.01054709,-0.001945091
1436.0,17.78275,0.01081525,-0.001515273
1436.0,15.84889,0.01097213,-0.00167777
1436.0,14.12534,0.01123906,-0.001436432
1437.0,12.58922,0.01115971,-0.001354449
1437.0,11.22016,0.01128383,-0.001250402
1437.0,9.999973,0.01136504,-0.001224776
1437.0,8.912485,0.01132122,-0.001067107
1437.0,7.943261,0.0114037,-0.001070078
1438.0,7.079438,0.01145081,-0.0009945949
1438.0,6.309556,0.01152658,-0.0008952133
1438.0,5.623397,0.01151516,-0.0008968086
1438.0,5.011858,0.01161398,-0.0008150824
1439.0,4.466823,0.01160359,-0.0006545897
1439.0,3.98106,0.01165232,-0.0007366664
1439.0,3.548123,0.01180793,-0.0005703675
1440.0,3.162268,0.01182334,-0.0006138921
1440.0,2.818374,0.01167569,-0.0006847341
1440.0,2.511878,0.01172482,-0.0006705068
1441.0,2.238714,0.01166921,-0.0006251968
1442.0,1.995256,0.01170706,-0.000445723
1442.0,1.778274,0.01192788,-0.000823753
1443.0,1.584888,0.01196123,-0.0007689988
1444.0,1.412533,0.01193141,-0.0008878349
1444.0,1.258921,0.01228623,-0.00106952
1445.0,1.122015,0.01223727,-0.0006971661
1446.0,0.999997,0.01233769,-0.001427241
1448.0,0.891248,0.01261783,-0.001349486
1449.0,0.794325,0.01241731,-0.001083587
1450.0,0.707943,0.01219008,-0.001350119
1452.0,0.630955,0.01239334,-0.0006161173
1454.0,0.562339,0.0123202,-0.001099835
1456.0,0.501185,0.01279941,-0.001198568
1458.0,0.446682,0.01260416,-0.00131498
1461.0,0.398106,0.01374111,-0.0005974751
1464.0,0.354812,0.01252144,-0.00120888
1470.0,0.281837,0.01615679,-0.0005595764
1479.0,0.223871,0.01342999,-0.0007599901
1484.0,0.199525,0.01368438,-0.0004732845
1490.0,0.177827,0.01254346,-0.0003495716
1496.0,0.158489,0.01240254,-0.0002889132
1503.0,0.141253,0.01165729,0.0001148284
1530.0,0.1,0.01376098,-0.001284219
