Experiment:, EIS
Start date:, ?tvrtek 8. prosince 2022
Start time:, 17:30:16 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
1319.0,15848.92,0.00592946,-0.001416584
1320.0,8912.503,0.004724409,-0.001259007
1320.0,7943.276,0.004677341,-0.0007833899
1320.0,7079.452,0.004908972,-0.001177886
1321.0,5011.868,0.005105523,-0.001041951
1321.0,4466.832,0.004954988,-0.0008671446
1322.0,3981.068,0.004883453,-0.001343413
1322.0,3548.131,0.005278159,-0.001111555
1322.0,3162.275,0.005384936,-0.001186975
1322.0,2818.38,0.005429667,-0.001172447
1323.0,2511.884,0.005552368,-0.001280822
1323.0,2238.719,0.005673174,-0.001346871
1323.0,1995.26,0.005829674,-0.001550826
1323.0,1778.277,0.005895034,-0.001404653
1324.0,1584.891,0.006063654,-0.001454765
1324.0,1412.536,0.006157184,-0.001516832
1324.0,1258.924,0.006383128,-0.001554647
1324.0,1122.017,0.006526446,-0.001504717
1325.0,999.9988,0.006595256,-0.001427354
1325.0,891.2498,0.006848393,-0.001492104
1325.0,794.3272,0.007059278,-0.001414894
1325.0,707.9448,0.007159251,-0.001385003
1325.0,630.9565,0.007259111,-0.001344895
1325.0,562.3405,0.007380835,-0.001242845
1326.0,501.1865,0.007663367,-0.00114
1326.0,446.6829,0.007608062,-0.001120461
1326.0,398.1066,0.00768386,-0.0009618605
1326.0,354.8128,0.007787037,-0.0009570469
1326.0,316.2273,0.007839476,-0.0008792047
1326.0,281.8378,0.007887842,-0.0008164732
1327.0,251.1882,0.007924337,-0.0007437532
1327.0,223.8717,0.00802464,-0.00066428
1327.0,199.5259,0.00801082,-0.0006223927
1327.0,177.8276,0.008029176,-0.0005616351
1327.0,158.489,0.008072068,-0.0004832287
1327.0,141.2535,0.008089281,-0.0004547333
1327.0,125.8923,0.008124396,-0.0003911825
1328.0,112.2016,0.008128612,-0.0003389327
1328.0,99.9998,0.008139937,-0.0001545033
1328.0,89.12492,0.008084564,-0.0002364799
1328.0,79.43266,0.00813568,-0.0002424682
1328.0,70.79443,0.008121478,-0.0002033412
1328.0,63.0956,0.008154903,-0.0001757795
1329.0,56.23401,0.008136456,-0.0001407019
1329.0,50.11861,0.008145136,-0.000138651
1329.0,44.66826,0.008128682,-8.173894e-05
1329.0,39.81063,0.008137409,-4.131278e-05
1329.0,35.48126,0.008158764,-0.0001102807
1329.0,31.6227,0.008212554,-0.0001134038
1330.0,28.18376,0.008101447,-6.107703e-05
1330.0,25.11881,0.008070981,-8.795014e-05
1330.0,22.38716,0.008085256,-8.300957e-05
1330.0,19.95257,0.008042397,-9.069443e-05
1330.0,17.78275,0.008103917,4.025465e-05
1330.0,15.84889,0.00806541,-6.173101e-05
1330.0,14.12534,0.008081234,-4.892139e-05
1331.0,12.58922,0.008035621,-2.596933e-05
1331.0,11.22016,0.008111601,-1.23005e-05
1331.0,9.999973,0.008140075,-1.153091e-05
1331.0,8.912485,0.008070843,-2.851084e-05
1331.0,7.943261,0.008134182,9.107729e-06
1332.0,7.079438,0.008069009,-2.077352e-05
1332.0,6.309556,0.008086439,-2.314225e-05
1332.0,5.623397,0.008065485,-3.418077e-05
1332.0,5.011858,0.008128907,-9.3603e-05
1333.0,4.466823,0.00805521,-8.041658e-05
1333.0,3.98106,0.008233013,-0.0002024658
1333.0,3.548123,0.008150889,-0.0001122477
1334.0,3.162268,0.008121426,-0.0001302444
1334.0,2.818374,0.00809662,-0.0001380029
1334.0,2.511878,0.008100146,-0.0001471274
1335.0,2.238714,0.008119733,-0.0002077518
1336.0,1.995256,0.008151809,-0.0001965634
1336.0,1.778274,0.008124585,-0.0002191233
1337.0,1.584888,0.008071383,-0.0002093064
1338.0,1.412533,0.008181849,-0.0002857489
1338.0,1.258921,0.008205855,-0.000255953
1339.0,1.122015,0.0082417,-0.0002454647
1340.0,0.999997,0.008218116,-0.0002062736
1342.0,0.891248,0.008304692,-0.0002285301
1343.0,0.794325,0.008329381,-0.0002612844
1344.0,0.707943,0.008419353,-0.0003523292
1346.0,0.630955,0.008570523,-0.0001329833
1348.0,0.562339,0.00831384,-0.0003079248
1350.0,0.501185,0.008322172,-0.000376357
1352.0,0.446682,0.008439875,-0.000310715
1355.0,0.398106,0.008504018,-0.0003127471
1358.0,0.354812,0.008487058,-0.0004518087
1361.0,0.316227,0.008433406,-0.0001940126
1364.0,0.281837,0.008564455,-0.0002070912
1369.0,0.251188,0.008440442,-0.0004768271
1373.0,0.223871,0.008590299,-0.0002966314
1378.0,0.199525,0.008558325,-0.0004252515
1384.0,0.177827,0.008613305,-0.0003045047
1390.0,0.158489,0.008680552,-0.0002929247
1397.0,0.141253,0.008600621,-0.0002493254
1424.0,0.1,0.009195219,-0.0006396084
