Experiment:, EIS
Start date:, ?tvrtek 8. prosince 2022
Start time:, 17:59:08 +01:00
Time (s), Frequency (Hz), Z' (Ohm), Z'' (Ohm)
914.0,31622.77,0.003935674,0.0004341429
915.0,19952.61,0.003756444,-0.0004310243
916.0,17782.79,0.004016994,-0.0003017283
916.0,15848.92,0.003859854,-0.000569287
916.0,14125.37,0.003997117,-0.000533735
916.0,12589.25,0.004173607,-0.0005931441
917.0,11220.18,0.00415744,-0.0006035853
917.0,9999.993,0.004291578,-0.000656387
917.0,8912.503,0.004352237,-0.0007384478
917.0,7943.276,0.004427786,-0.0007610214
918.0,7079.452,0.004494841,-0.0008104166
918.0,6309.568,0.004526059,-0.0008473437
918.0,5623.409,0.004591451,-0.0009067506
918.0,5011.868,0.00465735,-0.0009521794
919.0,4466.832,0.004715243,-0.00101303
919.0,3981.068,0.004778806,-0.001074297
919.0,3548.131,0.004841968,-0.001147742
919.0,3162.275,0.004916022,-0.001223765
920.0,2818.38,0.004996012,-0.001305476
920.0,2511.884,0.005085008,-0.001394301
920.0,2238.719,0.005189234,-0.001490624
920.0,1995.26,0.005298795,-0.0015854
921.0,1778.277,0.005431497,-0.001679838
921.0,1584.891,0.005572866,-0.001775329
921.0,1412.536,0.005737098,-0.001870887
921.0,1258.924,0.005913459,-0.001960183
922.0,1122.017,0.006106557,-0.002029554
922.0,999.9988,0.006283385,-0.002074511
922.0,891.2498,0.006535943,-0.002132862
922.0,794.3272,0.006751787,-0.002159032
922.0,707.9448,0.006977255,-0.002160195
922.0,630.9565,0.007222756,-0.002144054
923.0,562.3405,0.007449952,-0.002100744
923.0,501.1865,0.007718065,-0.001958679
923.0,446.6829,0.00786226,-0.00197121
923.0,398.1066,0.008036705,-0.001812139
923.0,354.8128,0.008244395,-0.001769435
923.0,316.2273,0.008400795,-0.001664051
923.0,281.8378,0.008517648,-0.001538174
924.0,251.1882,0.008652903,-0.001407878
924.0,223.8717,0.008743164,-0.001293962
924.0,199.5259,0.008870917,-0.001211782
924.0,177.8276,0.008897337,-0.001081201
924.0,158.489,0.00895067,-0.0009721784
924.0,141.2535,0.00900799,-0.0008825142
924.0,125.8923,0.009053986,-0.0007872386
925.0,112.2016,0.009104131,-0.0006783463
925.0,99.9998,0.009037957,-0.0005627028
925.0,89.12492,0.009122942,-0.0005509451
925.0,79.43266,0.00915011,-0.0004798392
925.0,70.79443,0.009146089,-0.0004184581
925.0,63.0956,0.009135947,-0.0003702636
926.0,56.23401,0.009158108,-0.0003401643
926.0,50.11861,0.009191891,-0.0003019902
926.0,44.66826,0.009154368,-0.0002594549
926.0,39.81063,0.009149176,-0.0002154851
926.0,35.48126,0.009168606,-0.0001747033
926.0,31.6227,0.009132675,-0.0001392328
926.0,28.18376,0.009166735,-0.0001372436
927.0,25.11881,0.009143223,-8.552988e-05
927.0,22.38716,0.009146537,-9.296895e-05
927.0,19.95257,0.009118768,-6.21256e-05
927.0,17.78275,0.009108005,-4.719246e-05
927.0,15.84889,0.009091963,-4.35829e-05
928.0,14.12534,0.009068078,-3.327018e-05
928.0,12.58922,0.00910756,-4.235712e-05
928.0,11.22016,0.009105559,-1.363248e-05
928.0,9.999973,0.009052264,-2.718088e-05
928.0,8.912485,0.009094638,-1.935501e-05
928.0,7.943261,0.009096163,-1.807106e-05
929.0,7.079438,0.009025324,1.356609e-05
929.0,6.309556,0.009001695,-0.0001080329
929.0,5.623397,0.009089475,-1.046196e-05
929.0,5.011858,0.008987022,2.596144e-05
930.0,4.466823,0.009083293,3.963504e-05
930.0,3.98106,0.009101568,8.700672e-06
930.0,3.548123,0.009040868,-3.192178e-05
931.0,3.162268,0.009065222,-1.694284e-05
931.0,2.818374,0.009054148,-5.823067e-05
932.0,2.511878,0.009048143,-7.426235e-05
932.0,2.238714,0.009026725,1.965752e-05
933.0,1.995256,0.008965783,-0.0001425626
933.0,1.778274,0.009079208,-9.010018e-05
934.0,1.584888,0.009083302,-8.169556e-05
935.0,1.412533,0.009088897,-0.0001058495
935.0,1.258921,0.009093868,-0.0002653304
936.0,1.122015,0.009125796,6.200429e-06
937.0,0.999997,0.009138757,-0.0001503578
939.0,0.891248,0.009109939,-0.0001518217
940.0,0.794325,0.009136121,-0.0001524495
941.0,0.707943,0.008972512,-0.0001867501
943.0,0.630955,0.008881745,-0.000318352
945.0,0.562339,0.009246676,-0.0001771012
947.0,0.501185,0.009097436,-9.440932e-05
949.0,0.446682,0.009240342,-0.0001984402
952.0,0.398106,0.009062477,-0.0001273535
955.0,0.354812,0.009142578,2.24036e-05
958.0,0.316227,0.009288316,-0.0001612296
961.0,0.281837,0.009209119,-0.0001386665
966.0,0.251188,0.009253088,-0.0001510214
970.0,0.223871,0.009218918,-0.0001726345
975.0,0.199525,0.009281379,-0.0001880544
981.0,0.177827,0.009236131,-0.0001760545
987.0,0.158489,0.00928979,-0.0001963382
1021.0,0.1,0.009083916,-0.0001358398
