Experiment:, EIS
Start date:, ?tvrtek 20. dubna 2023
Start time:, 14:16:28 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"731", "100000", "-0,0001382645", "-0,00965473"
"731", "89125,09", "-0,004094888", "0,003087743"
"731", "79432,82", "0,0007966565", "0,002035911"
"732", "70794,57", "0,002392453", "0,00276564"
"732", "63095,73", "0,0008435038", "0,001383576"
"732", "56234,13", "0,002180868", "1,221314e-05"
"732", "50118,71", "0,004140401", "-0,002957424"
"733", "44668,35", "0,004522435", "0,01077797"
"733", "39810,71", "0,00266106", "0,001243503"
"733", "35481,33", "0,003573444", "-4,883988e-05"
"733", "31622,77", "0,002981447", "-0,0002258351"
"734", "28183,82", "0,003372486", "-1,904285e-05"
"734", "25118,85", "0,003429379", "-0,0001830149"
"734", "22387,2", "0,003984852", "-0,0001455893"
"734", "19952,61", "0,003881247", "-0,0002234575"
"735", "17782,79", "0,003883223", "-0,0005441401"
"735", "15848,92", "0,003882084", "-0,0003270916"
"735", "14125,37", "0,003995547", "-0,0004508143"
"735", "12589,25", "0,004075238", "-0,0004785326"
"736", "11220,18", "0,004269748", "-0,0005602864"
"736", "9999,993", "0,004217115", "-0,0005326957"
"736", "8912,503", "0,00425906", "-0,0005608344"
"736", "7943,276", "0,004329611", "-0,0006075745"
"737", "7079,452", "0,004400054", "-0,0006031095"
"737", "6309,568", "0,004463813", "-0,0006287578"
"737", "5623,409", "0,004514832", "-0,0006539271"
"737", "5011,868", "0,004548933", "-0,0006693217"
"738", "4466,832", "0,00459941", "-0,0006997981"
"738", "3981,068", "0,004649549", "-0,0007253938"
"738", "3548,131", "0,004692693", "-0,0007600861"
"738", "3162,275", "0,004734796", "-0,0007891787"
"739", "2818,38", "0,004786702", "-0,0008296533"
"739", "2511,884", "0,004830849", "-0,0008722196"
"739", "2238,719", "0,004878432", "-0,0009214312"
"739", "1995,26", "0,004941268", "-0,0009703733"
"740", "1778,277", "0,004984383", "-0,001027973"
"740", "1584,891", "0,005050029", "-0,001084622"
"740", "1412,536", "0,005117825", "-0,001157597"
"740", "1258,924", "0,005182923", "-0,001224104"
"741", "1122,017", "0,005260631", "-0,001302437"
"741", "999,9988", "0,005407724", "-0,001352314"
"741", "891,2498", "0,005442116", "-0,001462148"
"741", "794,3272", "0,005545327", "-0,00155932"
"741", "707,9448", "0,005660126", "-0,001631333"
"741", "630,9565", "0,005787067", "-0,001739867"
"742", "562,3405", "0,005934239", "-0,001827908"
"742", "501,1865", "0,006163885", "-0,001826912"
"742", "446,6829", "0,006244795", "-0,002002712"
"742", "398,1066", "0,006536453", "-0,00210833"
"742", "354,8128", "0,006631176", "-0,002171998"
"742", "316,2273", "0,006846473", "-0,002219971"
"742", "281,8378", "0,007066198", "-0,002270086"
"743", "251,1882", "0,00730688", "-0,002310046"
"743", "223,8717", "0,0075316", "-0,002303604"
"743", "199,5259", "0,007826421", "-0,002264089"
"743", "177,8276", "0,008008525", "-0,002271401"
"743", "158,489", "0,008226933", "-0,00221971"
"743", "141,2535", "0,008444715", "-0,002156408"
"743", "125,8923", "0,008668365", "-0,002076802"
"744", "112,2016", "0,008878455", "-0,001992518"
"744", "99,9998", "0,009047128", "-0,001754693"
"744", "89,12492", "0,009172212", "-0,00174863"
"744", "79,43266", "0,009311823", "-0,001646117"
"744", "70,79443", "0,009454781", "-0,0015274"
"744", "63,0956", "0,009549506", "-0,001421498"
"745", "56,23401", "0,009619676", "-0,001331336"
"745", "50,11861", "0,009735216", "-0,001233933"
"745", "44,66826", "0,009785504", "-0,001114165"
"745", "39,81063", "0,009855136", "-0,001013844"
"745", "35,48126", "0,009870796", "-0,0009375016"
"745", "31,6227", "0,009914488", "-0,0008528811"
"746", "28,18376", "0,009934538", "-0,0007919738"
"746", "25,11881", "0,009995741", "-0,0007059565"
"746", "22,38716", "0,009983742", "-0,0006307555"
"746", "19,95257", "0,01001582", "-0,0005860724"
"746", "17,78275", "0,0100363", "-0,0005550588"
"746", "15,84889", "0,01004706", "-0,0004896919"
"747", "14,12534", "0,01005223", "-0,0004659776"
"747", "12,58922", "0,01007933", "-0,0004222838"
"747", "11,22016", "0,01008402", "-0,0003780326"
"747", "9,999973", "0,01008842", "-0,0003657678"
"747", "8,912485", "0,01007665", "-0,0003650435"
"747", "7,943261", "0,01011904", "-0,0003389817"
"748", "7,079438", "0,01008187", "-0,0003074222"
"748", "6,309556", "0,01015336", "-0,0003127982"
"748", "5,623397", "0,01011987", "-0,0003044164"
"748", "5,011858", "0,01011303", "-0,0002714954"
"749", "4,466823", "0,01013403", "-0,0002769214"
"749", "3,98106", "0,01011958", "-0,0003010854"
"749", "3,548123", "0,01010455", "-0,000331923"
"750", "3,162268", "0,01011331", "-0,0003211181"
"750", "2,818374", "0,01014685", "-0,0002872552"
"751", "2,511878", "0,01020581", "-0,0003027132"
"751", "2,238714", "0,01021585", "-0,0003509083"
"752", "1,995256", "0,01021417", "-0,0003820652"
"752", "1,778274", "0,01025897", "-0,000383908"
"753", "1,584888", "0,01025391", "-0,0004165496"
"754", "1,412533", "0,009953213", "-0,0004715632"
"754", "1,258921", "0,01041127", "-0,000413171"
"755", "1,122015", "0,01098569", "-0,0006214248"
"756", "0,999997", "0,01056686", "-0,0005384006"
"758", "0,891248", "0,01042867", "-0,000595362"
"759", "0,794325", "0,01070829", "-0,000833631"
"760", "0,707943", "0,01074045", "-0,0008004801"
"762", "0,630955", "0,01073219", "-0,0007077352"
"764", "0,562339", "0,01080813", "-0,0006996087"
"766", "0,501185", "0,01090469", "-0,0007439011"
"768", "0,446682", "0,0108941", "-0,0002531844"
"771", "0,398106", "0,01099835", "-0,0008357494"
"774", "0,354812", "0,01128028", "-0,0003176299"
"777", "0,316227", "0,01153516", "-0,0003021441"
"781", "0,281837", "0,01218013", "0,0005573279"
"784", "0,251188", "0,01141568", "-5,273319e-05"
"789", "0,223871", "0,01083991", "-0,0005321891"
"794", "0,199525", "0,01043352", "-0,0004296608"
"800", "0,177827", "0,01010298", "-6,149904e-05"
"806", "0,158489", "0,009373514", "0,0001285617"
"813", "0,141253", "0,009986556", "-0,0003506126"
"821", "0,125892", "0,01086064", "-0,0003621631"
"830", "0,112201", "0,01129726", "-0,0005269279"
"840", "0,1", "0,01392406", "-0,0006496773"
