Experiment:, EIS
Start date:, p?tek 31. b?ezna 2023
Start time:, 17:39:10 +02:00
"Time (s)", "Frequency (Hz)", "Z' (Ohm)", "Z'' (Ohm)"
"413", "100000", "0,008207928", "0,00224072"
"413", "89125,09", "0,006406066", "-0,004146497"
"413", "79432,82", "0,00303263", "0,001342246"
"414", "70794,57", "0,0002214071", "-0,001569411"
"414", "63095,73", "-0,001924593", "0,003162576"
"414", "56234,13", "-0,0005601228", "0,001459602"
"414", "50118,71", "0,007448578", "0,00180282"
"415", "44668,35", "-0,0009955094", "-0,009140386"
"415", "39810,71", "0,001083761", "0,001221186"
"415", "35481,33", "0,001392859", "-0,0004259559"
"415", "31622,77", "0,001826669", "-0,0006096033"
"416", "28183,82", "0,002108739", "-4,1584e-05"
"416", "25118,85", "0,001910569", "-0,0003247299"
"416", "22387,2", "0,002687732", "-0,0001985346"
"416", "19952,61", "0,002249164", "-0,0004134907"
"417", "17782,79", "0,002334631", "-0,0004267028"
"417", "15848,92", "0,002409243", "-0,0005611615"
"417", "14125,37", "0,002463144", "-0,000537865"
"417", "12589,25", "0,002499342", "-0,0005213867"
"418", "11220,18", "0,002600668", "-0,0006882264"
"418", "9999,993", "0,002624063", "-0,0007864918"
"418", "8912,503", "0,002669452", "-0,0008474524"
"418", "7943,276", "0,002724669", "-0,0009094657"
"419", "7079,452", "0,002825094", "-0,0009522419"
"419", "6309,568", "0,002869677", "-0,001040983"
"419", "5623,409", "0,002914757", "-0,001110966"
"419", "5011,868", "0,002977439", "-0,00117232"
"420", "4466,832", "0,003041576", "-0,001255464"
"420", "3981,068", "0,003113134", "-0,001349508"
"420", "3548,131", "0,003180995", "-0,00144251"
"420", "3162,275", "0,003250235", "-0,001548881"
"421", "2818,38", "0,003329089", "-0,001665076"
"421", "2511,884", "0,003409954", "-0,001791675"
"421", "2238,719", "0,003496935", "-0,00192634"
"421", "1995,26", "0,003579717", "-0,002081899"
"422", "1778,277", "0,003702114", "-0,002239578"
"422", "1584,891", "0,003820066", "-0,002416301"
"422", "1412,536", "0,00395205", "-0,0026078"
"422", "1258,924", "0,004095667", "-0,00281139"
"423", "1122,017", "0,004263695", "-0,003031182"
"423", "999,9988", "0,00447649", "-0,003253983"
"423", "891,2498", "0,004662483", "-0,003530436"
"423", "794,3272", "0,004903147", "-0,003781914"
"423", "707,9448", "0,00518239", "-0,00406837"
"423", "630,9565", "0,005483455", "-0,004351151"
"424", "562,3405", "0,005831978", "-0,004644548"
"424", "501,1865", "0,006170647", "-0,004976684"
"424", "446,6829", "0,006665842", "-0,005223017"
"424", "398,1066", "0,007146174", "-0,005550859"
"424", "354,8128", "0,007678565", "-0,005717625"
"424", "316,2273", "0,008254294", "-0,005916636"
"424", "281,8378", "0,008869399", "-0,006080105"
"424", "251,1882", "0,009495002", "-0,006192963"
"425", "223,8717", "0,01016637", "-0,006252951"
"425", "199,5259", "0,0108023", "-0,006213256"
"425", "177,8276", "0,01147423", "-0,006176882"
"425", "158,489", "0,01213662", "-0,006036613"
"425", "141,2535", "0,01274624", "-0,005853776"
"425", "125,8923", "0,01333736", "-0,005635753"
"426", "112,2016", "0,01385715", "-0,005372883"
"426", "99,9998", "0,01445038", "-0,004938548"
"426", "89,12492", "0,01474683", "-0,004732192"
"426", "79,43266", "0,01512741", "-0,004424889"
"426", "70,79443", "0,0154782", "-0,004059708"
"426", "63,0956", "0,01576961", "-0,003736698"
"427", "56,23401", "0,01603959", "-0,003403503"
"427", "50,11861", "0,0162569", "-0,003072809"
"427", "44,66826", "0,01640129", "-0,002812216"
"427", "39,81063", "0,01653035", "-0,00255132"
"427", "35,48126", "0,0166556", "-0,002256887"
"427", "31,6227", "0,01673258", "-0,002030603"
"427", "28,18376", "0,01687587", "-0,001869974"
"428", "25,11881", "0,01689772", "-0,001598338"
"428", "22,38716", "0,01696501", "-0,001418575"
"428", "19,95257", "0,01692323", "-0,001238884"
"428", "17,78275", "0,01693396", "-0,001155553"
"428", "15,84889", "0,01698975", "-0,0009295565"
"428", "14,12534", "0,01694395", "-0,0007534976"
"429", "12,58922", "0,01683413", "-0,00062617"
"429", "11,22016", "0,01701851", "-0,0006866502"
"429", "9,999973", "0,01688923", "-0,0007249336"
"429", "8,912485", "0,01700204", "-0,0005265743"
"429", "7,943261", "0,01699193", "-0,0005654886"
"430", "7,079438", "0,0168041", "-0,0003314427"
"430", "6,309556", "0,01693917", "-0,0004312571"
"430", "5,623397", "0,01687066", "-0,0003465494"
"430", "5,011858", "0,01704961", "-0,0004180898"
"431", "4,466823", "0,01699937", "-0,0003529017"
"431", "3,98106", "0,01698801", "-0,0003150066"
"431", "3,548123", "0,0170519", "-0,0003049339"
"432", "3,162268", "0,01688004", "-0,0003586143"
"432", "2,818374", "0,01715643", "-0,0001852079"
"432", "2,511878", "0,01708112", "-0,0003216102"
